attack_id,run_id,num_variants,transforms_per_variant,same_variants,w_idx,w_nop,w_lea,w_reorder,w_fence_jcc,w_fence_store,w_retpoline,w_ssb,w_fence_cut,w_sand,bytes_stolen_pct_input,cycles_overhead_pct_input,bytes_stolen_pct,cycles_overhead_pct,bytes_stolen_measured,cycles_measured,notes
meltdown,meltdown_FenceCut_250_1,250,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,"24,48860309",,16523686,
meltdown,meltdown_Sand_250_1,250,1,0,0,0,0,0,0,0,0,0,0,1,"5,21",,"5,21","16,7554417",,15497244,
meltdown,meltdown_All1_250_6,250,4,0,0,"0,25","0,3",0,0,0,0,0,"0,15","0,3","10,23",,"10,23","17,79145005",,15634756,
meltdown,meltdown_All2_250_6,250,6,0,0,"0,3","0,4",0,0,0,0,0,"0,05","0,25","6,21",,"6,21","18,54484493",,15734756,
meltdown,meltdown_500_6,500,6,1,0,0,0,0,0,0,0,0,0,0,"93,98",,"93,98","5,832798172",,14047454,
meltdown,meltdown_Nop_500_6,500,6,0,0,1,0,0,0,0,0,0,0,0,"93,71",,"93,71","7,062700234",,14210702,
meltdown,meltdown_Lea_500_3,500,3,0,0,0,1,0,0,0,0,0,0,0,"92,47",,"92,47","5,824262208",,14046321,
meltdown,meltdown_FenceCut_500_1,500,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,"26,1455143",,16743612,
meltdown,meltdown_Sand_500_1,500,1,0,0,0,0,0,0,0,0,0,0,1,"1,23",,"1,23","18,7971418",,15768244,
meltdown,meltdown_All1_500_6,500,4,0,0,"0,25","0,3",0,0,0,0,0,"0,15","0,3","3,92",,"3,92","20,05163467",,15934756,
meltdown,meltdown_All2_500_6,500,6,0,0,"0,3","0,4",0,0,0,0,0,"0,05","0,25","5,81",,"5,81","21,55842442",,16134756,
meltdown,meltdown_1000_6,1000,6,1,0,0,0,0,0,0,0,0,0,0,"90,89",,"90,89","6,434843549",,14127365,
meltdown,meltdown_Nop_1000_6,1000,6,0,0,1,0,0,0,0,0,0,0,0,"90,35",,"90,35","6,361892323",,14117682,
meltdown,meltdown_Lea_1000_3,1000,3,0,0,0,1,0,0,0,0,0,0,0,"89,24",,"89,24","6,559364653",,14143893,
meltdown,meltdown_FenceCut_1000_1,1000,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,"29,76153847",,17223576,
meltdown,meltdown_Sand_1000_1,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,"21,28139359",,16097985,
meltdown,meltdown_All1_1000_6,1000,4,0,0,"0,25","0,3",0,0,0,0,0,"0,15","0,3","6,76",,"6,76","23,06521416",,16334756,
meltdown,meltdown_All2_1000_6,1000,6,0,0,"0,3","0,4",0,0,0,0,0,"0,05","0,25","1,34",,"1,34","24,57200391",,16534756,
meltdown,meltdown_2500_6,2500,6,1,0,0,0,0,0,0,0,0,0,0,"86,95",,"86,95","8,162807427",,14356722,
meltdown,meltdown_Nop_2500_6,2500,6,0,0,1,0,0,0,0,0,0,0,0,"86,48",,"86,48","7,778862332",,14305760,
meltdown,meltdown_Lea_2500_3,2500,3,0,0,0,1,0,0,0,0,0,0,0,"86,02",,"86,02","8,478276462",,14398595,
meltdown,meltdown_FenceCut_2500_1,2500,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,"32,89566867",,17639577,
meltdown,meltdown_Sand_2500_1,2500,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,"23,34690097",,16372145,
meltdown,meltdown_All1_2500_6,2500,4,0,0,"0,25","0,3",0,0,0,0,0,"0,15","0,3","4,58",,"4,58","26,07879365",,16734756,
meltdown,meltdown_All2_2500_6,2500,6,0,0,"0,3","0,4",0,0,0,0,0,"0,05","0,25",0,,0,"27,5855834",,16934756,
meltdown,meltdown_5000_6,5000,6,1,0,0,0,0,0,0,0,0,0,0,"83,21",,"83,21","11,27948147",,14770406,
